('QTD DE FORMIGAS: ', 20)
('QTD DE HQs: ', 3)
('QTD DE Abelhas: ', 4)
('NOME ', 'COL-21V', ' | LOCAL: ', 13)
('NOME ', 'COL-19T', ' | LOCAL: ', 5)
('NOME ', 'COL-12M', ' | LOCAL: ', 2)
('PRE REDUZ GRAFO: ', {0: 4, 1: 8, 2: 6, 3: 5, 4: 8, 5: 5, 6: 5, 7: 6, 8: 4, 9: 6, 10: 6, 11: 9, 12: 7, 13: 6, 14: 9})
('EVENTO', 'NOME', 'INTENSIDADE', 'PONTO', 'GRAU', 'RODADAS', 'STATUS')
('EVENTO:', 'V\xc3\xadtima de Acidente19176340469589246621452077141551751562194', 1, 11, 3, 168, 'ATIVO')
('EVENTO:', 'V\xc3\xadtima de Acidente19176340469589246621452077141551751562194', 1, 11, 3, 169, 'COMPLETO')
('EVENTO:', 'PM na \xc3\x81rea14110394576644907481649725152307210035095', 1, 3, 4, 171, 'ATIVO')
('EVENTO:', 'PM na \xc3\x81rea14110394576644907481649725152307210035095', 1, 3, 4, 172, 'COMPLETO')
('EVENTO:', 'Mulher em Trabalho de Parto11230135795934157616970931227142603937148', 2, 6, 2, 174, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto11230135795934157616970931227142603937148', 2, 6, 2, 176, 'COMPLETO')
('EVENTO:', 'Quadrilha15231774027623999289228109518114542043641', 3, 12, 3, 177, 'ATIVO')
('EVENTO:', 'Quadrilha15231774027623999289228109518114542043641', 3, 12, 3, 179, 'COMPLETO')
('EVENTO:', 'V\xc3\xadtima de Acidente199680522160544105049510787537304464266', 1, 5, 3, 180, 'ATIVO')
('EVENTO:', 'V\xc3\xadtima de Acidente199680522160544105049510787537304464266', 1, 5, 3, 180, 'COMPLETO')
('EVENTO:', 'Individuo Suspeito8309754712383065685168362928593683516400', 3, 9, 5, 183, 'ATIVO')
('EVENTO:', 'Individuo Suspeito8309754712383065685168362928593683516400', 3, 9, 5, 183, 'COMPLETO')
('EVENTO:', 'Briga1329193563491752715172961573691746570662', 3, 8, 3, 186, 'ATIVO')
('EVENTO:', 'Briga1329193563491752715172961573691746570662', 3, 8, 3, 188, 'COMPLETO')
('EVENTO:', 'PM na \xc3\x81rea14297710531290710751562842442280581220425', 2, 9, 5, 189, 'ATIVO')
('EVENTO:', 'PM na \xc3\x81rea14297710531290710751562842442280581220425', 2, 9, 5, 189, 'COMPLETO')
('EVENTO:', 'Golpe de Estado6203008538552449015538559101310841304705', 1, 14, 3, 192, 'ATIVO')
('EVENTO:', 'Golpe de Estado6203008538552449015538559101310841304705', 1, 14, 3, 194, 'COMPLETO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o384531627651159098847893167485685575083', 1, 9, 5, 195, 'ATIVO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o384531627651159098847893167485685575083', 1, 9, 5, 195, 'COMPLETO')
('EVENTO:', 'Quadrilha15137573940728012193004986997281199183401', 1, 14, 3, 198, 'ATIVO')
('EVENTO:', 'Quadrilha15137573940728012193004986997281199183401', 1, 14, 3, 200, 'COMPLETO')
('EVENTO:', 'Ladr\xc3\xa3o10226151241259341646864504638365021404951', 3, 10, 4, 201, 'ATIVO')
('EVENTO:', 'Ladr\xc3\xa3o10226151241259341646864504638365021404951', 3, 10, 4, 202, 'COMPLETO')
('EVENTO:', 'Navio Afundando12131216102982642417007294219464452898866', 3, 10, 4, 204, 'ATIVO')
('EVENTO:', 'Navio Afundando12131216102982642417007294219464452898866', 3, 10, 4, 205, 'COMPLETO')
('EVENTO:', 'Tiroteio1870956809514567739963027100470796080974', 2, 3, 4, 207, 'ATIVO')
('EVENTO:', 'Tiroteio1870956809514567739963027100470796080974', 2, 3, 4, 208, 'COMPLETO')
('EVENTO:', 'Mulher em Trabalho de Parto1113035735253848919799170310542012695698', 3, 14, 3, 210, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto1113035735253848919799170310542012695698', 3, 14, 3, 212, 'COMPLETO')
('EVENTO:', 'Corrida de Rua211515691894058292744194174312745346933', 1, 14, 3, 213, 'ATIVO')
('EVENTO:', 'Corrida de Rua211515691894058292744194174312745346933', 1, 14, 3, 215, 'COMPLETO')
('EVENTO:', 'Navio Afundando12114351925941899472693678482808368125909', 3, 14, 3, 216, 'ATIVO')
('EVENTO:', 'Navio Afundando12114351925941899472693678482808368125909', 3, 14, 3, 218, 'COMPLETO')
('EVENTO:', 'Tiroteio18115996533808132762506923461657928707550', 2, 11, 3, 219, 'ATIVO')
('EVENTO:', 'Tiroteio18115996533808132762506923461657928707550', 2, 11, 3, 220, 'COMPLETO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial1340463252051539595389038288591074292237', 3, 14, 3, 222, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial1340463252051539595389038288591074292237', 3, 14, 3, 224, 'COMPLETO')
('EVENTO:', 'Joalheiria Roubada9152281519917745165464679896523324288637', 3, 4, 5, 225, 'ATIVO')
('EVENTO:', 'Joalheiria Roubada9152281519917745165464679896523324288637', 3, 4, 5, 225, 'COMPLETO')
('EVENTO:', 'Tiroteio18308206619134789898775393471017174669765', 2, 8, 3, 228, 'ATIVO')
('EVENTO:', 'Tiroteio18308206619134789898775393471017174669765', 2, 8, 3, 230, 'COMPLETO')
('EVENTO:', 'Golpe de Estado6250475656445565601493541226585143140026', 1, 5, 3, 231, 'ATIVO')
('EVENTO:', 'Golpe de Estado6250475656445565601493541226585143140026', 1, 5, 3, 231, 'COMPLETO')
('EVENTO:', 'Golpe de Estado6204771602168303202417183697657376427845', 2, 4, 5, 234, 'ATIVO')
('EVENTO:', 'Golpe de Estado6204771602168303202417183697657376427845', 2, 4, 5, 234, 'COMPLETO')
('EVENTO:', 'Quadrilha1577090578132946925196476411840373680917', 2, 12, 3, 237, 'ATIVO')
('EVENTO:', 'Quadrilha1577090578132946925196476411840373680917', 2, 12, 3, 239, 'COMPLETO')
('EVENTO:', 'Navio Afundando12186313008112457877033491373877089911523', 3, 5, 3, 240, 'ATIVO')
('EVENTO:', 'Navio Afundando12186313008112457877033491373877089911523', 3, 5, 3, 240, 'COMPLETO')
('EVENTO:', 'Mulher em Trabalho de Parto1131528193206570165051763164819343030051', 3, 14, 3, 243, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto1131528193206570165051763164819343030051', 3, 14, 3, 245, 'COMPLETO')
('EVENTO:', 'Soldado Ferido17161033424183902184677685052639434973996', 1, 3, 4, 246, 'ATIVO')
('EVENTO:', 'Soldado Ferido17161033424183902184677685052639434973996', 1, 3, 4, 247, 'COMPLETO')
('EVENTO:', 'V\xc3\xadtima de Acidente19192708436326547827084153948482762700041', 3, 4, 5, 249, 'ATIVO')
('EVENTO:', 'V\xc3\xadtima de Acidente19192708436326547827084153948482762700041', 3, 4, 5, 249, 'COMPLETO')
('EVENTO:', 'Navio Afundando1255293799045634969564003006660300673377', 1, 1, 3, 252, 'ATIVO')
('EVENTO:', 'Navio Afundando1255293799045634969564003006660300673377', 1, 1, 3, 253, 'COMPLETO')
('EVENTO:', 'PM na \xc3\x81rea1471581789193381985616658478732961658300', 3, 10, 4, 255, 'ATIVO')
('EVENTO:', 'PM na \xc3\x81rea1471581789193381985616658478732961658300', 3, 10, 4, 256, 'COMPLETO')
('EVENTO:', 'Hospital em Chamas7144169665474013157521414740122045092818', 1, 6, 2, 258, 'ATIVO')
('EVENTO:', 'Hospital em Chamas7144169665474013157521414740122045092818', 1, 6, 2, 260, 'COMPLETO')
('EVENTO:', 'Mulher em Trabalho de Parto11279437130379337436527276998149444340495', 1, 8, 3, 261, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto11279437130379337436527276998149444340495', 1, 8, 3, 263, 'COMPLETO')
('EVENTO:', 'PM na \xc3\x81rea1460851946959507935685629785384571860880', 3, 6, 2, 264, 'ATIVO')
('EVENTO:', 'PM na \xc3\x81rea1460851946959507935685629785384571860880', 3, 6, 2, 266, 'COMPLETO')
('EVENTO:', 'Joalheiria Roubada9251183820699648944696210423384581805133', 2, 13, 2, 267, 'ATIVO')
('EVENTO:', 'Joalheiria Roubada9251183820699648944696210423384581805133', 2, 13, 2, 267, 'COMPLETO')
('EVENTO:', 'Soldado Ferido1747168886083029568970255332703992414153', 2, 14, 3, 270, 'ATIVO')
('EVENTO:', 'Soldado Ferido1747168886083029568970255332703992414153', 2, 14, 3, 272, 'COMPLETO')
('EVENTO:', 'Mulher em Trabalho de Parto11174501062123933275261521934996724063425', 2, 6, 2, 273, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto11174501062123933275261521934996724063425', 2, 6, 2, 275, 'COMPLETO')
('EVENTO:', 'Mulher em Trabalho de Parto11192783791190894116177495671446005710151', 1, 10, 4, 276, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto11192783791190894116177495671446005710151', 1, 10, 4, 277, 'COMPLETO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13110422867954899961972377475887228798347', 2, 13, 2, 279, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13110422867954899961972377475887228798347', 2, 13, 2, 279, 'COMPLETO')
('EVENTO:', 'V\xc3\xadtima de Acidente19236763798660287642336547313109150552635', 3, 8, 3, 282, 'ATIVO')
('EVENTO:', 'V\xc3\xadtima de Acidente19236763798660287642336547313109150552635', 3, 8, 3, 284, 'COMPLETO')
('EVENTO:', 'PM na \xc3\x81rea1444923704782293792162379522399454160571', 1, 4, 5, 285, 'ATIVO')
('EVENTO:', 'PM na \xc3\x81rea1444923704782293792162379522399454160571', 1, 4, 5, 285, 'COMPLETO')
('EVENTO:', 'Golpe de Estado6177950823358797032778253648472631961482', 1, 11, 3, 288, 'ATIVO')
('EVENTO:', 'Golpe de Estado6177950823358797032778253648472631961482', 1, 11, 3, 289, 'COMPLETO')
('EVENTO:', 'Briga1258291074760847728443741323600541463665', 2, 6, 2, 291, 'ATIVO')
('EVENTO:', 'Briga1258291074760847728443741323600541463665', 2, 6, 2, 293, 'COMPLETO')
('EVENTO:', 'Golpe de Estado6266805897495703896830464670895370920273', 3, 11, 3, 294, 'ATIVO')
('EVENTO:', 'Golpe de Estado6266805897495703896830464670895370920273', 3, 11, 3, 295, 'COMPLETO')
('EVENTO:', 'Golpe de Estado688864549644828770151049695685665258558', 1, 13, 2, 297, 'ATIVO')
('EVENTO:', 'Golpe de Estado688864549644828770151049695685665258558', 1, 13, 2, 297, 'COMPLETO')
('EVENTO:', 'Assalto0321999754507965300481569412676943718458', 2, 11, 3, 300, 'ATIVO')
('EVENTO:', 'Assalto0321999754507965300481569412676943718458', 2, 11, 3, 301, 'COMPLETO')
('EVENTO:', 'Soldado Ferido1794548465696337356632975378856454222317', 1, 2, 5, 303, 'ATIVO')
('EVENTO:', 'Soldado Ferido1794548465696337356632975378856454222317', 1, 2, 5, 303, 'COMPLETO')
('EVENTO:', 'Golpe de Estado691235336577634633162411997831524139054', 1, 1, 3, 306, 'ATIVO')
('EVENTO:', 'Golpe de Estado691235336577634633162411997831524139054', 1, 1, 3, 307, 'COMPLETO')
('EVENTO:', 'Ladr\xc3\xa3o1044601923246426645104532559362251156739', 2, 9, 5, 309, 'ATIVO')
('EVENTO:', 'Ladr\xc3\xa3o1044601923246426645104532559362251156739', 2, 9, 5, 309, 'COMPLETO')
('EVENTO:', 'Joalheiria Roubada9186578903873879341390036232697130776521', 1, 2, 5, 312, 'ATIVO')
('EVENTO:', 'Joalheiria Roubada9186578903873879341390036232697130776521', 1, 2, 5, 312, 'COMPLETO')
('EVENTO:', 'Individuo Suspeito8331821416947947636300452434153120386784', 3, 1, 3, 315, 'ATIVO')
('EVENTO:', 'Individuo Suspeito8331821416947947636300452434153120386784', 3, 1, 3, 316, 'COMPLETO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial1322734156660525325165320825402709581767', 2, 5, 3, 318, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial1322734156660525325165320825402709581767', 2, 5, 3, 318, 'COMPLETO')
('EVENTO:', 'Hospital em Chamas7207230207077457649653929498417255045959', 1, 7, 3, 321, 'ATIVO')
('EVENTO:', 'Hospital em Chamas7207230207077457649653929498417255045959', 1, 7, 3, 323, 'COMPLETO')
('EVENTO:', 'Quadrilha15279502378291568381672705756693161682565', 1, 13, 2, 324, 'ATIVO')
('EVENTO:', 'Quadrilha15279502378291568381672705756693161682565', 1, 13, 2, 324, 'COMPLETO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o3196439759141324169026109368719141547953', 2, 1, 3, 327, 'ATIVO')
('EVENTO:', 'Depreda\xc3\xa7\xc3\xa3o3196439759141324169026109368719141547953', 2, 1, 3, 328, 'COMPLETO')
('EVENTO:', 'Joalheiria Roubada9327890237442666106554648448669247597050', 1, 9, 5, 330, 'ATIVO')
('EVENTO:', 'Joalheiria Roubada9327890237442666106554648448669247597050', 1, 9, 5, 330, 'COMPLETO')
('EVENTO:', 'Resgate16266445396387738540533367407937643763225', 2, 5, 3, 333, 'ATIVO')
('EVENTO:', 'Resgate16266445396387738540533367407937643763225', 2, 5, 3, 333, 'COMPLETO')
('EVENTO:', 'Fuga5261698308104144871515295010610002819583', 1, 7, 3, 336, 'ATIVO')
('EVENTO:', 'Fuga5261698308104144871515295010610002819583', 1, 7, 3, 338, 'COMPLETO')
('EVENTO:', 'Quadrilha15145690436926621150549264461986657897430', 1, 12, 3, 339, 'ATIVO')
('EVENTO:', 'Quadrilha15145690436926621150549264461986657897430', 1, 12, 3, 341, 'COMPLETO')
('EVENTO:', 'Ladr\xc3\xa3o10263729189970674320998987567358116006615', 3, 2, 5, 342, 'ATIVO')
('EVENTO:', 'Ladr\xc3\xa3o10263729189970674320998987567358116006615', 3, 2, 5, 342, 'COMPLETO')
('EVENTO:', 'Assalto0303178954275886527594498365515780180747', 3, 8, 3, 345, 'ATIVO')
('EVENTO:', 'Assalto0303178954275886527594498365515780180747', 3, 8, 3, 347, 'COMPLETO')
('EVENTO:', 'Mulher em Trabalho de Parto11289795795809037238454018100420979587309', 1, 12, 3, 348, 'ATIVO')
('EVENTO:', 'Mulher em Trabalho de Parto11289795795809037238454018100420979587309', 1, 12, 3, 350, 'COMPLETO')
