('EVENTO', 'NOME', 'INTENSIDADE', 'PONTO', 'GRAU_ATUAL', 'GRAU_ORIGINAL', 'RODADAS', 'STATUS')
('EVENTO:', 'Individuo Suspeito8224086150507768053530308631578517738788', 2, 21, 6, 17, 186, 'COMPLETO')
('EVENTO:', 'PM na \xc3\x81rea1417403307226663465601039856132286649867', 3, 5, 8, 19, 187, 'COMPLETO')
('EVENTO:', 'Individuo Suspeito8159301272650437044862846843371558239710', 3, 32, 6, 19, 189, 'ATIVO')
('EVENTO:', 'Soldado Ferido17216238635710746279703457602018819863658', 2, 44, 8, 16, 190, 'COMPLETO')
('EVENTO:', 'Hospital em Chamas7133822671901493822319109827486709253938', 3, 44, 8, 16, 192, 'ATIVO')
('EVENTO:', 'PM na \xc3\x81rea14155343653438848985377628574510465686488', 1, 44, 8, 16, 192, 'COMPLETO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial1387932896154832738020506608099107646427', 1, 33, 9, 12, 193, 'COMPLETO')
('EVENTO:', 'Individuo Suspeito8159301272650437044862846843371558239710', 2, 32, 6, 19, 193, 'COMPLETO')
('EVENTO:', 'Tiroteio1810969793603334508993798793666359624826', 1, 42, 9, 16, 195, 'ATIVO')
('EVENTO:', 'Fuga5289474616879338614650119204897775304647', 3, 16, 8, 22, 198, 'ATIVO')
('EVENTO:', 'Ladr\xc3\xa3o101750464688786350214973006678374684795', 3, 42, 9, 16, 201, 'ATIVO')
('EVENTO:', 'Navio Afundando12275458596256525439873170184694760736198', 3, 18, 9, 18, 204, 'ATIVO')
('EVENTO:', 'Golpe de Estado6209321823620197543455993027923420790915', 1, 16, 8, 22, 204, 'COMPLETO')
('EVENTO:', 'Mulher em Trabalho de Parto1110124104393224118220773410655094516697', 3, 13, 8, 20, 207, 'ATIVO')
('EVENTO:', 'Assalto097647627674912415732501872276861678414', 3, 16, 8, 22, 210, 'ATIVO')
('EVENTO:', 'Hospital em Chamas7133822671901493822319109827486709253938', 3, 44, 8, 16, 211, 'COMPLETO')
('EVENTO:', 'Corrida de Rua2281117809195448375246300887602710835310', 2, 19, 9, 17, 213, 'ATIVO')
('EVENTO:', 'Opera\xc3\xa7\xc3\xa3o Policial13208564976827347492497420978232569248297', 1, 19, 9, 17, 214, 'COMPLETO')
('EVENTO:', 'Exterm\xc3\xadnio4336443081692070817644753592251667993063', 3, 19, 9, 17, 216, 'ATIVO')
