"EVENTO", "NOME", "INTENSIDADE", "PONTO", "GRAU_ATUAL", "GRAU_ORIGINAL", "RODADAS", "STATUS"
"EVENTO:", "Joalheiria Roubada9166667091043078038367417238116381077757", 2, 72, 16, 30, 175, 1
"EVENTO:", "Ladr\xc3\xa3o10298513268319409420297094745469248984661", 3, 70, 19, 26, 177, 0
"EVENTO:", "Ladr\xc3\xa3o10298513268319409420297094745469248984661", 3, 70, 19, 26, 178, 1
"EVENTO:", "Corrida de Rua2155974843266973425096365942132398867550", 3, 4, 16, 35, 180, 0
"EVENTO:", "Corrida de Rua2155974843266973425096365942132398867550", 3, 4, 16, 35, 180, 1
"EVENTO:", "Fuga5100987257000176161916858940146709801852", 1, 44, 19, 27, 183, 0
"EVENTO:", "Fuga5100987257000176161916858940146709801852", 1, 44, 19, 27, 183, 1
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial1324619020822001120282026058862911736398", 3, 24, 16, 26, 186, 0
"EVENTO:", "Opera\xc3\xa7\xc3\xa3o Policial1324619020822001120282026058862911736398", 3, 24, 16, 26, 187, 1
"EVENTO:", "Individuo Suspeito8323964287704456143562908720155688547430", 1, 47, 19, 32, 189, 0
"EVENTO:", "Individuo Suspeito8323964287704456143562908720155688547430", 1, 47, 19, 32, 190, 1
"EVENTO:", "Resgate16224583705478309105015269418603316434949", 3, 34, 16, 30, 192, 0
"EVENTO:", "Resgate16224583705478309105015269418603316434949", 3, 34, 16, 30, 193, 1
"EVENTO:", "Depreda\xc3\xa7\xc3\xa3o3207055661077916786656262845190113637913", 2, 65, 16, 24, 195, 0
"EVENTO:", "Depreda\xc3\xa7\xc3\xa3o3207055661077916786656262845190113637913", 2, 65, 16, 24, 195, 1
"EVENTO:", "Depreda\xc3\xa7\xc3\xa3o3320035393900701097825098861588909604713", 2, 16, 19, 34, 198, 0
"EVENTO:", "Depreda\xc3\xa7\xc3\xa3o3320035393900701097825098861588909604713", 2, 16, 19, 34, 198, 1
"EVENTO:", "Assalto0145931339226786070926640967838077645357", 3, 37, 17, 25, 201, 0
"EVENTO:", "Assalto0145931339226786070926640967838077645357", 3, 37, 17, 25, 202, 1
"EVENTO:", "PM na \xc3\x81rea14297633829088690258978987927075153269125", 3, 19, 16, 27, 204, 0
"EVENTO:", "PM na \xc3\x81rea14297633829088690258978987927075153269125", 3, 19, 16, 27, 204, 1
"EVENTO:", "Soldado Ferido1730458846531555053967582967090463030494", 2, 37, 17, 25, 207, 0
"EVENTO:", "Soldado Ferido1730458846531555053967582967090463030494", 2, 37, 17, 25, 208, 1
"EVENTO:", "Quadrilha1519272436469588921427772216159733772874", 1, 71, 12, 27, 210, 0
"EVENTO:", "Quadrilha1519272436469588921427772216159733772874", 1, 71, 12, 27, 211, 1
"EVENTO:", "Mulher em Trabalho de Parto1175745965699598562520578739774294352985", 1, 34, 16, 30, 213, 0
"EVENTO:", "Mulher em Trabalho de Parto1175745965699598562520578739774294352985", 1, 34, 16, 30, 214, 1
"EVENTO:", "Tiroteio18259235187838004363106355418779340740091", 1, 71, 12, 27, 216, 0
"EVENTO:", "Tiroteio18259235187838004363106355418779340740091", 1, 71, 12, 27, 217, 1
"EVENTO:", "Exterm\xc3\xadnio4315563202536641271523135502507211155355", 3, 34, 16, 30, 219, 0
"EVENTO:", "Exterm\xc3\xadnio4315563202536641271523135502507211155355", 3, 34, 16, 30, 220, 1
"EVENTO:", "Navio Afundando12191989780973093343318793150417747472430", 3, 33, 19, 26, 222, 0
"EVENTO:", "Navio Afundando12191989780973093343318793150417747472430", 3, 33, 19, 26, 223, 1
"EVENTO:", "Navio Afundando12309786829418514382037559909106732099855", 3, 65, 16, 24, 225, 0
"EVENTO:", "Navio Afundando12309786829418514382037559909106732099855", 3, 65, 16, 24, 225, 1
"EVENTO:", "Individuo Suspeito8324844546139083975113815637411538601425", 2, 67, 23, 36, 228, 0
"EVENTO:", "Individuo Suspeito8324844546139083975113815637411538601425", 2, 67, 23, 36, 229, 1
"EVENTO:", "Briga1286567120295164385934766978334211432301", 3, 72, 16, 30, 231, 0
"EVENTO:", "Briga1286567120295164385934766978334211432301", 3, 72, 16, 30, 232, 1
"EVENTO:", "Resgate16257590253501255197063595585998957061105", 3, 1, 24, 34, 234, 0
"EVENTO:", "Resgate16257590253501255197063595585998957061105", 3, 1, 24, 34, 235, 1
"EVENTO:", "Fuga587957910736764606107132247952042816812", 1, 67, 23, 36, 237, 0
"EVENTO:", "Fuga587957910736764606107132247952042816812", 1, 67, 23, 36, 238, 1
"EVENTO:", "Golpe de Estado662340661188221491228058094653162226221", 2, 54, 15, 26, 240, 0
"EVENTO:", "Golpe de Estado662340661188221491228058094653162226221", 2, 54, 15, 26, 240, 1
"EVENTO:", "Depreda\xc3\xa7\xc3\xa3o3291906137319146475316118595654590799145", 3, 19, 16, 27, 243, 0
"EVENTO:", "Depreda\xc3\xa7\xc3\xa3o3291906137319146475316118595654590799145", 3, 19, 16, 27, 243, 1
"EVENTO:", "Assalto0226919441810326211441559807842549160694", 2, 61, 21, 34, 246, 0
"EVENTO:", "Assalto0226919441810326211441559807842549160694", 2, 61, 21, 34, 247, 1
"EVENTO:", "Quadrilha153040279357986788186110439200874446866", 3, 29, 15, 29, 249, 0
"EVENTO:", "Quadrilha153040279357986788186110439200874446866", 3, 29, 15, 29, 250, 1
"EVENTO:", "Assalto069506598967347986362894831620759895779", 3, 63, 22, 38, 252, 0
"EVENTO:", "Assalto069506598967347986362894831620759895779", 3, 63, 22, 38, 252, 1
"EVENTO:", "Mulher em Trabalho de Parto1195980543828127429512171110325736043679", 1, 67, 23, 36, 255, 0
"EVENTO:", "Mulher em Trabalho de Parto1195980543828127429512171110325736043679", 1, 67, 23, 36, 256, 1
"EVENTO:", "Joalheiria Roubada934283493486145371308743185432289945162", 2, 44, 19, 27, 258, 0
"EVENTO:", "Joalheiria Roubada934283493486145371308743185432289945162", 2, 44, 19, 27, 258, 1
"EVENTO:", "Hospital em Chamas7151484576244170970870107224583369246146", 1, 59, 21, 30, 261, 0
"EVENTO:", "Hospital em Chamas7151484576244170970870107224583369246146", 1, 59, 21, 30, 261, 1
"EVENTO:", "Assalto0140940406338919114288660581124026511702", 3, 73, 18, 32, 264, 0
"EVENTO:", "Assalto0140940406338919114288660581124026511702", 3, 73, 18, 32, 265, 1
"EVENTO:", "Fuga59666780087102028177346936777703077814", 2, 30, 12, 22, 267, 0
"EVENTO:", "Fuga59666780087102028177346936777703077814", 2, 30, 12, 22, 268, 1
"EVENTO:", "Exterm\xc3\xadnio4256180489591050201161779470181779078323", 1, 15, 13, 24, 270, 0
"EVENTO:", "Exterm\xc3\xadnio4256180489591050201161779470181779078323", 1, 15, 13, 24, 271, 1
"EVENTO:", "Resgate16304000434693821190248535527447603593737", 1, 64, 15, 26, 273, 0
"EVENTO:", "Resgate16304000434693821190248535527447603593737", 1, 64, 15, 26, 273, 1
"EVENTO:", "Golpe de Estado6195353406530236284214927965615448349464", 1, 60, 9, 21, 276, 0
"EVENTO:", "Golpe de Estado6195353406530236284214927965615448349464", 1, 60, 9, 21, 277, 1
"EVENTO:", "V\xc3\xadtima de Acidente19200191451758630736555860467095233047629", 2, 40, 23, 32, 279, 0
"EVENTO:", "V\xc3\xadtima de Acidente19200191451758630736555860467095233047629", 2, 40, 23, 32, 280, 1
"EVENTO:", "Individuo Suspeito882668081348827249173768485185147140860", 1, 55, 16, 29, 282, 0
"EVENTO:", "Individuo Suspeito882668081348827249173768485185147140860", 1, 55, 16, 29, 282, 1
"EVENTO:", "Briga1191173854088598381392354702590220544755", 1, 43, 13, 27, 285, 0
